Bib,Name,Country,Gender,Division,Division Rank,Overall Time,Overall Rank,Swim Time,Swim Rank,Bike Time,Bike Rank,Run Time,Run Rank,Finish Status
444,Pascal Franken,Netherlands,Male,M30-34,1,8:50:09,1,1:00:00,43,4:41:22,1,3:02:00,14,Finisher
848,Nicola Christiaens,Belgium,Male,M25-29,1,8:50:38,2,0:57:17,14,4:58:02,7,2:48:40,2,Finisher
506,Jurriaan Schuring,Netherlands,Male,M25-29,2,8:59:50,3,1:01:11,62,4:52:49,2,2:59:13,8,Finisher
255,Filippos Vokos,Greece,Male,M18-24,1,9:01:09,4,0:58:31,24,4:54:40,5,3:01:17,11,Finisher
17,Andrew Woodroffe,United Kingdom,Male,M30-34,2,9:03:44,5,0:59:38,33,5:11:03,55,2:42:28,1,Finisher
45,Benjamin Bouchet,France,Male,M35-39,1,9:10:56,6,0:57:14,13,5:06:14,31,2:58:50,7,Finisher
20,Logan Siebert,Belgium,Male,M25-29,3,9:11:19,7,1:00:16,47,5:06:18,33,2:55:55,5,Finisher
126,Arne Devliegher,Belgium,Male,M30-34,3,9:12:59,8,1:00:22,50,5:04:26,23,2:59:38,9,Finisher
31,Nicola Buchs,Switzerland,Male,M18-24,2,9:14:41,9,1:01:39,70,5:01:57,19,3:02:09,15,Finisher
611,Johannn Grundbichler,Austria,Male,M30-34,4,9:15:21,10,0:58:42,28,5:06:19,34,3:01:08,10,Finisher
71,Randy Dobler,Switzerland,Male,M25-29,4,9:15:40,11,1:06:39,168,4:53:06,3,3:08:44,32,Finisher
1058,John Holley,United Kingdom,Male,M35-39,2,9:17:19,12,1:03:50,105,4:59:05,8,3:05:05,22,Finisher
877,Dries Vissers,Belgium,Male,M35-39,3,9:18:24,13,0:59:03,30,5:07:35,36,3:03:23,17,Finisher
878,Bryce Morison,United States,Male,M25-29,5,9:21:42,14,1:04:17,116,5:01:41,17,3:05:49,24,Finisher
62,Florian Kaufmann,Switzerland,Male,M30-34,5,9:23:09,15,1:03:48,104,5:00:33,11,3:12:14,42,Finisher
1249,Nicolas Smeyers,Belgium,Male,M30-34,6,9:25:23,16,1:01:35,69,5:16:26,84,2:56:43,6,Finisher
6,Niklas Geiß,Germany,Male,M35-39,4,9:27:28,17,1:07:35,197,5:02:15,20,3:10:33,38,Finisher
149,Bastien Jornod,Switzerland,Male,M30-34,7,9:28:37,18,1:03:57,109,5:09:07,44,3:06:45,28,Finisher
